ID,NOM,VILLE,ETAT,LATITUDE,LONGITUDE,A_DISTANCE_SEULEMENT,NOMBRE_ETUDIANTS,AGE_ENTREE,COUT_MOYEN_ANNEE_ACADEMIE,TAUX_ADMISSION,DEFAUT_PAIEMENT_2ANNEES,DEFAUT_PAIEMENT_3ANNEES
100200,Alabama A & M University,Normal,AL,34.783368,-86.568502,0.0,1368,20.283741368,22489.0,0.8986,0.114,0.182
105200,University of Alabama at Birmingham,Birmingham,AL,33.505697,-86.799345,0.0,2730,23.60797466,24347.0,0.9211,0.06,0.057
2503400,Amridge University,Montgomery,AL,32.362609,-86.17401,1.0,135,33.672297297,17680.0,,0.071,0.11
105500,University of Alabama in Huntsville,Huntsville,AL,34.724557,-86.640449,0.0,1175,22.727919632,23441.0,0.8087,0.077,0.059
100500,Alabama State University,Montgomery,AL,32.364317,-86.295677,0.0,1281,20.130990415,21476.0,0.9774,0.132,0.203
105100,The University of Alabama,Tuscaloosa,AL,33.211875,-87.545978,0.0,4928,21.137701396,29424.0,0.5906,0.066,0.051
100700,Central Alabama Community College,Alexander City,AL,32.92478,-85.945266,0.0,619,23.071028037,8824.0,,0.204,0.196
100800,Athens State University,Athens,AL,34.806793,-86.964698,0.0,859,30.384765625,,,0.067,0.075
831000,Auburn University at Montgomery,Montgomery,AL,32.36736,-86.177544,0.0,1175,22.199804114,18291.0,0.9281,0.09,0.104
100900,Auburn University,Auburn,AL,32.599378,-85.488258,0.0,3032,20.516795866,31282.0,0.7543,0.045,0.036
101200,Birmingham-Southern College,Birmingham,AL,33.513774,-86.850552,0.0,208,19.64479638,52176.0,0.5666,0.085,0.048
1218200,Chattahoochee Valley Community College,Phenix City,AL,32.42391,-85.031485,0.0,766,24.81025641,8750.0,,0.096,0.15
1303906,South University-Montgomery,Montgomery,AL,32.342684,-86.216488,0.0,9358,30.001843187,29309.0,,0.174,0.116
101500,Enterprise State Community College,Enterprise,AL,31.297496,-85.836956,0.0,647,23.948815166,9262.0,,0.177,0.179
106000,Coastal Alabama Community College,Bay Minette,AL,30.851343,-87.778193,0.0,2754,23.501064801,12008.0,,0.119,0.177
100300,Faulkner University,Montgomery,AL,32.384181,-86.21641,0.0,950,28.260475651,33944.0,0.5227,0.077,0.125
101700,Gadsden State Community College,Gadsden,AL,33.994001,-85.991438,0.0,1529,23.64507772,10098.0,,0.142,
4187200,New Beginning College of Cosmetology,Albertville,AL,34.27871,-86.196931,0.0,81,23.460176991,,,,0.065
101800,George C Wallace Community College-Dothan,Dothan,AL,31.315274,-85.465836,0.0,1407,23.866083755,9564.0,,0.0,
787100,George C Wallace State Community College-Hanceville,Hanceville,AL,34.072439,-86.781935,0.0,1726,23.447604328,10252.0,,0.165,0.142
569900,George C Wallace State Community College-Selma,Selma,AL,32.445917,-87.013294,0.0,644,22.870995671,13788.0,,0.0,
962107,Herzing University-Birmingham,Birmingham,AL,33.468466,-86.832465,0.0,4088,31.289940828,26128.0,0.95,0.117,0.127
101900,Huntingdon College,Montgomery,AL,32.351034,-86.284366,0.0,331,23.017751479,35685.0,0.5841,0.078,0.098
2199700,Heritage Christian University,Florence,AL,34.856153,-87.663051,0.0,10,28.72,,,0.133,0.181
526000,J. F. Drake State Community and Technical College,Huntsville,AL,34.771858,-86.572885,0.0,463,27.254901961,11123.0,,0.0,
3002500,J F Ingram State Technical College,Deatsville,AL,32.582312,-86.392369,0.0,,36.403669725,5580.0,,,
102000,Jacksonville State University,Jacksonville,AL,33.822938,-85.765321,0.0,1663,22.62058319,20050.0,0.543,0.077,0.098
102200,Jefferson State Community College,Birmingham,AL,33.652535,-86.707233,0.0,2209,24.418235877,13284.0,,0.116,0.138
101300,John C Calhoun State Community College,Tanner,AL,34.645844,-86.949674,0.0,2517,23.856652164,9848.0,,0.186,0.168
102300,Judson College,Marion,AL,32.629253,-87.315206,0.0,189,28.406483791,31735.0,0.482,0.067,0.177
105900,Lawson State Community College,Birmingham,AL,33.450814,-86.888844,0.0,1280,23.384028892,13735.0,,0.0,
